Customer ID,Recency,Frequency,Monetary,log_r,log_f,log_m,Cluster
12346,326,3,77352.96,5.786897381366707,1.0986122886681098,11.256134122883763,3
12608,405,1,415.79,6.003887067106539,0.0,6.030180325110656,2
12745,487,2,723.85,6.18826412308259,0.6931471805599453,6.5845841886000525,2
12746,541,1,254.55,6.293419278846482,0.0,5.539497280348345,2
12747,3,26,8898.480000000001,1.0986122886681098,3.258096538021482,9.093635754617699,4
12748,1,322,49173.78999999993,0.0,5.7745515455444085,10.803116036955542,4
12749,4,9,6847.3600000000015,1.3862943611198906,2.19722457733622,8.831618455510187,4
12777,458,1,519.45,6.1268691841141845,0.0,6.252770559516541,2
12819,459,1,540.52,6.129050210060545,0.0,6.292531639169885,2
12820,4,11,2689.520000000001,1.3862943611198906,2.3978952727983707,7.897118018012103,4
12821,215,2,220.79999999999995,5.3706380281276624,0.6931471805599453,5.39725731440294,2
12822,71,2,948.88,4.262679877041316,0.6931471805599453,6.855282341721019,1
12823,75,18,6501.5,4.31748811353631,2.8903717578961645,8.779788198491374,4
12824,60,1,397.12,4.0943445622220995,0.0,5.984238502016242,2
12825,522,2,518.63,6.257667587882639,0.6931471805599453,6.251190719483879,2
12826,3,12,2800.750000000003,1.0986122886681098,2.4849066497880004,7.9376425174388325,4
12827,6,3,430.14999999999986,1.791759469228055,1.0986122886681098,6.064133985067358,1
12828,3,6,1018.7100000000003,1.0986122886681098,1.791759469228055,6.9262923999805475,1
12829,337,3,385.3,5.8200829303523625,1.0986122886681098,5.954022251632113,2
12830,38,6,6814.640000000002,3.6375861597263857,1.791759469228055,8.826828518083857,4
12831,263,3,451.11000000000007,5.572154032177764,1.0986122886681098,6.111711212202339,3
12832,33,2,383.03,3.49650756146648,0.6931471805599453,5.9481133150948144,1
12833,146,1,417.38,4.9836066217083355,0.0,6.033997077826683,2
12834,283,1,312.38,5.645446897643237,0.0,5.7442203954295765,2
12835,428,41,5996.8299999999845,6.0591231955817975,3.7135720667043084,8.698986275259623,4
12836,60,15,6559.729999999991,4.0943445622220995,2.7080502011022096,8.788704722554511,4
12837,174,2,662.66,5.159055299214528,0.6931471805599453,6.4962620381356295,2
12838,34,10,2975.9099999999994,3.5263605246161616,2.302585092994046,7.998305153560202,4
