Customer ID,Recency,Frequency,Monetary,log_r,log_f,log_m
12346,326,3,77352.96,5.786897381366708,1.0986122886681098,11.256134122883765
12608,405,1,415.79,6.003887067106539,0.0,6.030180325110656
12745,487,2,723.85,6.18826412308259,0.6931471805599453,6.5845841886000525
12746,541,1,254.54999999999998,6.293419278846481,0.0,5.539497280348345
12747,3,26,8898.480000000001,1.0986122886681098,3.258096538021482,9.093635754617699
12748,1,322,49173.789999999935,0.0,5.7745515455444085,10.803116036955542
12749,4,9,6847.360000000001,1.3862943611198906,2.1972245773362196,8.831618455510187
12777,458,1,519.45,6.126869184114185,0.0,6.252770559516541
12819,459,1,540.52,6.129050210060545,0.0,6.292531639169885
12820,4,11,2689.5200000000013,1.3862943611198906,2.3978952727983707,7.897118018012103
12821,215,2,220.79999999999995,5.3706380281276624,0.6931471805599453,5.39725731440294
12822,71,2,948.88,4.2626798770413155,0.6931471805599453,6.85528234172102
12823,75,18,6501.5,4.31748811353631,2.8903717578961645,8.779788198491374
12824,60,1,397.11999999999995,4.0943445622221,0.0,5.984238502016242
12825,522,2,518.63,6.257667587882639,0.6931471805599453,6.251190719483879
12826,3,12,2800.750000000003,1.0986122886681098,2.4849066497880004,7.937642517438833
12827,6,3,430.1499999999999,1.791759469228055,1.0986122886681098,6.064133985067357
12828,3,6,1018.7100000000002,1.0986122886681098,1.791759469228055,6.926292399980548
12829,337,3,385.29999999999995,5.820082930352362,1.0986122886681098,5.954022251632112
12830,38,6,6814.640000000003,3.6375861597263857,1.791759469228055,8.826828518083857
12831,263,3,451.11000000000007,5.572154032177765,1.0986122886681098,6.111711212202339
12832,33,2,383.03000000000003,3.4965075614664802,0.6931471805599453,5.9481133150948144
12833,146,1,417.37999999999994,4.983606621708336,0.0,6.033997077826684
12834,283,1,312.38,5.645446897643238,0.0,5.7442203954295765
12835,428,41,5996.829999999984,6.059123195581797,3.713572066704308,8.698986275259623
12836,60,15,6559.729999999991,4.0943445622221,2.70805020110221,8.788704722554511
12837,174,2,662.66,5.159055299214529,0.6931471805599453,6.49626203813563
12838,34,10,2975.9099999999994,3.5263605246161616,2.302585092994046,7.998305153560202
12839,3,26,9669.119999999986,1.0986122886681098,3.258096538021482,9.176692581203927
12840,144,7,4041.970000000001,4.969813299576001,1.9459101490553132,8.30448747586774
12841,5,40,6958.199999999988,1.6094379124341003,3.6888794541139363,8.84767609919071
12842,71,4,1917.99,4.2626798770413155,1.3862943611198906,7.559033041665454
12843,66,28,6461.869999999997,4.189654742026425,3.332204510175204,8.773674028571435
12844,30,4,648.5999999999999,3.4011973816621555,1.3862943611198906,6.474816193873218
12845,268,4,354.09000000000003,5.5909869805108565,1.3862943611198906,5.869551118109087
12847,23,2,1609.0000000000007,3.1354942159291497,0.6931471805599453,7.3833681469923835
12848,676,1,208.0,6.516193076042964,0.0,5.337538079701318
12849,32,6,3015.980000000001,3.4657359027997265,1.791759469228055,8.011680097806124
12850,446,1,330.0,6.100318952020064,0.0,5.799092654460526
12851,97,2,280.76000000000005,4.574710978503383,0.6931471805599453,5.637500211862221
